service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
44801,1,1,1,1,1,0,0,20150513,20150518
44802,1,1,1,1,0,0,0,20150513,20150518
44803,0,1,1,1,1,0,0,20150513,20150518
44804,0,1,1,1,1,0,0,20150513,20150518
44805,0,0,0,0,1,0,0,20150513,20150518
44806,0,0,0,0,0,1,0,20150513,20150518
44807,0,0,0,0,0,1,0,20150513,20150518
44808,0,0,0,0,0,0,1,20150513,20150518
44809,0,0,0,0,0,0,1,20150513,20150518
44810,0,0,1,1,1,1,0,20150513,20150518
44811,0,1,1,1,1,1,0,20150513,20150518
44812,0,1,1,1,1,1,0,20150513,20150518
44813,1,0,0,0,0,0,0,20150513,20150518
44814,1,0,0,0,0,0,0,20150513,20150518
44815,1,0,0,0,0,0,0,20150513,20150518
44816,0,1,0,0,0,0,0,20150513,20150518
44817,0,1,0,0,0,0,0,20150513,20150518
44818,1,0,1,1,1,0,0,20150513,20150518
44819,1,0,1,1,1,0,0,20150513,20150518
44820,0,0,1,0,0,0,0,20150513,20150518
44821,0,0,1,0,0,0,0,20150513,20150518
44822,1,1,0,1,1,0,0,20150513,20150518
44823,1,1,0,1,1,0,0,20150513,20150518
44824,0,0,0,1,0,0,0,20150513,20150518
44825,0,0,0,1,0,0,0,20150513,20150518
44826,1,1,1,0,1,0,0,20150513,20150518
44827,1,1,1,0,1,0,0,20150513,20150518
44828,0,1,1,0,0,0,0,20150513,20150518
44829,0,1,1,0,0,0,0,20150513,20150518
44830,1,0,0,1,1,0,0,20150513,20150518
44831,1,0,0,1,1,0,0,20150513,20150518
44832,1,1,0,0,1,0,0,20150513,20150518
44833,1,1,0,0,1,0,0,20150513,20150518
44834,1,1,1,1,1,0,1,20150513,20150518
44835,1,1,1,1,1,0,1,20150513,20150518
44836,1,1,1,1,1,1,0,20150513,20150518
44837,1,1,1,1,1,1,0,20150513,20150518
44838,1,1,1,1,1,1,0,20150513,20150518
44839,1,1,1,1,1,0,0,20150513,20150518
44840,1,1,1,1,0,0,1,20150513,20150518
44901,1,1,1,1,1,0,0,20150519,20150731
44902,1,1,1,1,0,0,0,20150519,20150731
44903,0,1,1,1,1,0,0,20150519,20150731
44904,0,1,1,1,1,0,0,20150519,20150731
44905,0,0,0,0,1,0,0,20150519,20150731
44906,0,0,0,0,0,1,0,20150519,20150731
44907,0,0,0,0,0,1,0,20150519,20150731
44908,0,0,0,0,0,0,1,20150519,20150731
44909,0,0,0,0,0,0,1,20150519,20150731
44910,0,0,1,1,1,1,0,20150519,20150731
