service_id,date,exception_type
44901,20150525,2
44901,20150704,2
44902,20150525,2
44902,20150704,2
44903,20150525,2
44903,20150704,2
44904,20150526,2
44904,20150705,2
44905,20150525,2
44905,20150704,2
44906,20150525,2
44906,20150704,2
44907,20150526,2
44907,20150705,2
44908,20150526,2
44908,20150705,2
44909,20150525,1
44909,20150704,1
44910,20150526,2
44910,20150705,2
44911,20150525,2
44911,20150704,2
44912,20150526,2
44912,20150705,2
44913,20150525,2
44913,20150704,2
44914,20150526,2
44914,20150705,2
44915,20150526,1
44915,20150705,1
44916,20150525,2
44916,20150704,2
44917,20150526,2
44917,20150705,2
44918,20150525,2
44918,20150704,2
44919,20150526,2
44919,20150705,2
44920,20150525,2
44920,20150704,2
44921,20150526,2
44921,20150705,2
44922,20150525,2
44922,20150704,2
44923,20150526,2
44923,20150705,2
44924,20150525,2
44924,20150704,2
44925,20150526,2
44925,20150705,2
44926,20150525,2
44926,20150704,2
44927,20150526,2
44927,20150705,2
44928,20150525,2
44928,20150704,2
44929,20150526,2
44929,20150705,2
44930,20150525,2
44930,20150704,2
44931,20150526,2
44931,20150705,2
44932,20150525,2
44932,20150704,2
44933,20150526,2
44933,20150705,2
44934,20150525,2
44934,20150704,2
44935,20150526,2
44935,20150705,2
44936,20150525,2
44936,20150704,2
44937,20150526,2
44937,20150705,2
44938,20150526,1
44938,20150705,1
44939,20150526,1
44939,20150705,1
44940,20150525,1
44940,20150704,1
104901,20150525,2
104901,20150704,2
104902,20150525,2
104902,20150704,2
104903,20150525,2
104903,20150704,2
104904,20150526,2
104904,20150705,2
104905,20150525,2
104905,20150704,2
104906,20150525,2
104906,20150704,2
104907,20150526,2
104907,20150705,2
104908,20150526,2
104908,20150705,2
104909,20150525,1
104909,20150704,1
104910,20150526,2
104910,20150705,2
104911,20150525,2
104911,20150704,2
104912,20150526,2
104912,20150705,2
104913,20150525,2
104913,20150704,2
104914,20150526,2
104914,20150705,2
104915,20150526,1
104915,20150705,1
104916,20150525,2
104916,20150704,2
104917,20150526,2
104917,20150705,2
104918,20150525,2
104918,20150704,2
104919,20150526,2
104919,20150705,2
104920,20150525,2
104920,20150704,2
104921,20150526,2
104921,20150705,2
104922,20150525,2
104922,20150704,2
104923,20150526,2
104923,20150705,2
104924,20150525,2
104924,20150704,2
104925,20150526,2
104925,20150705,2
104926,20150525,2
104926,20150704,2
104927,20150526,2
104927,20150705,2
104928,20150525,2
104928,20150704,2
104929,20150526,2
104929,20150705,2
104930,20150525,2
104930,20150704,2
104931,20150526,2
104931,20150705,2
104932,20150525,2
104932,20150704,2
104933,20150526,2
104933,20150705,2
104934,20150525,2
104934,20150704,2
104935,20150526,2
104935,20150705,2
104936,20150525,2
104936,20150704,2
104937,20150526,2
104937,20150705,2
104938,20150526,1
104938,20150705,1
104939,20150526,1
104939,20150705,1
104940,20150525,1
104940,20150704,1
204901,20150525,2
204901,20150704,2
