stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
50,50,Ashland & Congress,"Ashland & Congress, Northbound, Southeast Corner",41.87508698,-87.66643194,0,,1
51,51,Ashland & Van Buren,"Ashland & Van Buren, Northbound, Northeast Corner",41.87655158,-87.66651521,0,,1
903,903,North Ave & Bosworth,"North Ave & Bosworth, Eastbound, Southeast Corner",41.9105698,-87.6662869,0,,1
910,910,North Ave & Sheffield,"North Ave & Sheffield, Eastbound, Southwest Corner",41.91076826,-87.65314689,0,,1
913,913,North Ave & Clybourn/Halsted (Red Line),"North Ave & Clybourn/Halsted (Red Line), Eastbound, Southeast Corner",41.91083785,-87.64897589,0,,1
915,915,North Ave & Orchard,"North Ave & Orchard, Eastbound, Southside of the Street",41.91090304,-87.64593024,0,,1
916,916,North Ave & Larrabee,"North Ave & Larrabee, Eastbound, Southwest Corner",41.91092214,-87.64362233,0,,1
917,917,North Ave & Cleveland,"North Ave & Cleveland, Eastbound, Southwest Corner",41.91096789,-87.64110808,0,,1
918,918,North Ave & Sedgwick (Brown Line),"North Ave & Sedgwick (Brown Line), Eastbound, Southwest Corner",41.91099843,-87.63877757,0,,1
919,919,North Ave & North Park,"North Ave & North Park, Eastbound, Southwest Corner",41.91102809,-87.63679062,0,,1
920,920,North Ave & Wells,"North Ave & Wells, Eastbound, Southwest Corner",41.91104991,-87.63487391,0,,1
922,922,North Ave & Clark,"North Ave & Clark, Eastbound, Southwest Corner",41.91109336,-87.63180968,0,,1
923,923,North Ave & Clark Terminal,"North Ave & Clark Terminal, Southwestbound, Bus Terminal",41.91128,-87.631195,0,,1
924,924,North Ave & Clark,"North Ave & Clark, Westbound, Northwest Corner",41.9112345,-87.63202175,0,,1
926,926,North Ave & Wells,"North Ave & Wells, Westbound, Northeast Corner",41.91118658,-87.63452737,0,,1
927,927,North Ave & Sedgwick (Brown Line),"North Ave & Sedgwick (Brown Line), Westbound, Northeast Corner",41.91122311,-87.63841909,0,,1
928,928,North Ave & Cleveland,"North Ave & Cleveland, Westbound, Northeast Corner",41.91119711,-87.64075835,0,,1
929,929,North Ave & Larrabee,"North Ave & Larrabee, Westbound, Northwest Corner",41.91106838,-87.64383088,0,,1
933,933,North Ave & Fremont,"North Ave & Fremont, Westbound, Northside of the Street",41.91094308,-87.65101375,0,,1
934,934,North Ave & Sheffield/Kingsbury,"North Ave & Sheffield/Kingsbury, Westbound, Northeast Corner",41.91086645,-87.65404664,0,,1
939,939,North Ave & Bosworth,"North Ave & Bosworth, Westbound, Northeast Corner",41.91069722,-87.66624251,0,,1
1931,1931,Clark & Belle Plaine,"Clark & Belle Plaine, Northbound, Eastside of the Street",41.95642405,-87.66340584,0,,1
3455,3455,95th Street & Princeton,"95th Street & Princeton, Westbound, Northside of the Street",41.721738,-87.631197,0,,1
3456,3456,95th Street & Eggleston,"95th Street & Eggleston, Westbound, Northeast Corner",41.72167,-87.633215,0,,1
3457,3457,95th Street & Normal,"95th Street & Normal, Westbound, Northeast Corner",41.72166463,-87.63585239,0,,1
3458,3458,95th Street & Wallace,"95th Street & Wallace, Westbound, Northeast Corner",41.721618,-87.638185,0,,1
3459,3459,95th Street & Union,"95th Street & Union, Westbound, Northeast Corner",41.721593,-87.640568,0,,1
3461,3461,95th Street & Peoria,"95th Street & Peoria, Westbound, Northeast Corner",41.72153,-87.645437,0,,1
3462,3462,95th Street & Morgan,"95th Street & Morgan, Westbound, Northeast Corner",41.721497,-87.647873,0,,1
3463,3463,95th Street & Vincennes (Metra Station),"95th Street & Vincennes (Metra Station), Westbound, Northeast Corner",41.721475,-87.649928,0,,1
3464,3464,95th Street & Vincennes,"95th Street & Vincennes, Westbound, Northwest Corner",41.72146886,-87.65110893,0,,1
3465,3465,95th Street & Racine,"95th Street & Racine, Westbound, Northeast Corner",41.721435,-87.652777,0,,1
3466,3466,95th Street & Throop,"95th Street & Throop, Westbound, Northeast Corner",41.721402,-87.655178,0,,1
3467,3467,95th Street & Loomis,"95th Street & Loomis, Westbound, Northeast Corner",41.721337,-87.657567,0,,1
3468,3468,95th Street & Bishop,"95th Street & Bishop, Westbound, Northeast Corner",41.721375,-87.658825,0,,1
3469,3469,95th Street & Laflin,"95th Street & Laflin, Westbound, Northeast Corner",41.721353,-87.660065,0,,1
3497,3497,95th Street & Winston,"95th Street & Winston, Eastbound, Southwest Corner",41.721142,-87.660823,0,,1
3498,3498,95th Street & Bishop,"95th Street & Bishop, Eastbound, Southwest Corner",41.721153,-87.659263,0,,1
3500,3500,95th Street & Throop,"95th Street & Throop, Eastbound, Southwest Corner",41.72120191,-87.65547979,0,,1
3501,3501,95th Street & Racine,"95th Street & Racine, Eastbound, Southwest Corner",41.72123266,-87.65304791,0,,1
3502,3502,95th Street & Vincennes,"95th Street & Vincennes, Eastbound, Southwest Corner",41.72124707,-87.6509333,0,,1
3503,3503,95th Street & Morgan,"95th Street & Morgan, Eastbound, Southside of the Street",41.72130231,-87.64811279,0,,1
3504,3504,95th Street & Peoria,"95th Street & Peoria, Eastbound, Southwest Corner",41.7213214,-87.64574306,0,,1
3506,3506,95th Street & Union,"95th Street & Union, Eastbound, Southwest Corner",41.721387,-87.640932,0,,1
3507,3507,95th Street & Wallace,"95th Street & Wallace, Eastbound, Southwest Corner",41.721417,-87.638507,0,,1
3508,3508,95th Street & Normal,"95th Street & Normal, Eastbound, Southwest Corner",41.721458,-87.636098,0,,1
3509,3509,95th Street & Eggleston,"95th Street & Eggleston, Eastbound, Southwest Corner",41.72149,-87.634105,0,,1
3510,3510,95th Street & Princeton,"95th Street & Princeton, Eastbound, Southwest Corner",41.72151704,-87.63121104,0,,1
3511,3511,95th Street & Wentworth,"95th Street & Wentworth, Eastbound, Southwest Corner",41.72155016,-87.62877168,0,,1
4164,4164,Ashland Orange Line Station,"Ashland Orange Line Station, Northbound, Bus Terminal",41.83910169,-87.66542703,0,,1
5665,5665,Irving Park & Greenview,"Irving Park & Greenview, Eastbound, Southwest Corner",41.95423755,-87.66760151,0,,1
5667,5667,Irving Park & Southport,"Irving Park & Southport, Eastbound, Southwest Corner",41.9542736,-87.6643419,0,,1
5681,5681,Irving Park & Greenview,"Irving Park & Greenview, Westbound, Northeast Corner",41.95439,-87.667282,0,,1
5993,5993,Southport & Belle Plaine,"Southport & Belle Plaine, Southbound, Northwest Corner",41.95623819,-87.66436691,0,,1
5995,5995,Ashland & Irving Park,"Ashland & Irving Park, Southbound, Southwest Corner",41.95409096,-87.66917232,0,,1
5996,5996,Ashland & Byron,"Ashland & Byron, Southbound, Northwest Corner",41.952545,-87.669071,0,,1
5997,5997,Ashland & Grace,"Ashland & Grace, Southbound, Northwest Corner",41.95072,-87.669025,0,,1
5998,5998,Ashland & Waveland,"Ashland & Waveland, Southbound, Northwest Corner",41.94892635,-87.66904212,0,,1
6000,6000,Ashland & Cornelia,"Ashland & Cornelia, Southbound, Northwest Corner",41.94529447,-87.66894819,0,,1
6001,6001,Ashland & Roscoe,"Ashland & Roscoe, Southbound, Northwest Corner",41.94347011,-87.66890867,0,,1
6002,6002,Ashland & School,"Ashland & School, Southbound, Northwest Corner",41.94160355,-87.66884373,0,,1
6003,6003,Ashland & Belmont/Lincoln,"Ashland & Belmont/Lincoln, Southbound, Northwest Corner",41.94003572,-87.6687988,0,,1
6004,6004,Ashland & Barry,"Ashland & Barry, Southbound, Northwest Corner",41.937944,-87.668663,0,,1
6006,6006,Ashland & George,"Ashland & George, Southbound, Westside of the Street",41.934212,-87.66853,0,,1
6008,6008,2656 N Ashland,"2656 N Ashland, Southbound, Westside of the Street",41.93058884,-87.66846497,0,,1
6009,6009,Ashland & Wrightwood,"Ashland & Wrightwood, Southbound, Northwest Corner",41.92884949,-87.66840601,0,,1
6010,6010,Ashland & Altgeld,"Ashland & Altgeld, Southbound, Northwest Corner",41.92707645,-87.66834568,0,,1
6011,6011,Ashland & Fullerton,"Ashland & Fullerton, Southbound, Northwest Corner",41.92526205,-87.66829753,0,,1
6013,6013,Ashland & Webster,"Ashland & Webster, Southbound, Southwest Corner",41.92112427,-87.66870125,0,,1
6015,6015,Ashland & Elston,"Ashland & Elston, Southbound, Northwest Corner",41.919052,-87.66838681,0,,1
6016,6016,Ashland & Cortland,"Ashland & Cortland, Southbound, Northwest Corner",41.91630396,-87.66793248,0,,1
6018,6018,Ashland & Wabansia,"Ashland & Wabansia, Southbound, Northwest Corner",41.912535,-87.667815,0,,1
6019,6019,Ashland & North Ave,"Ashland & North Ave, Southbound, Northwest Corner",41.91073426,-87.66784143,0,,1
6020,6020,Ashland & Le Moyne,"Ashland & Le Moyne, Southbound, Northwest Corner",41.90916165,-87.6677165,0,,1
6022,6022,1302 N Ashland,"1302 N Ashland, Southbound, Westside of the Street",41.9052813,-87.66767302,0,,1
6024,6024,Ashland & Division (Blue Line),"Ashland & Division (Blue Line), Southbound, Northwest Corner",41.90351037,-87.66765753,0,,1
6025,6025,Ashland & Thomas,"Ashland & Thomas, Southbound, Westside of the Street",41.901491,-87.667514,0,,1
6027,6027,Ashland & Chestnut,"Ashland & Chestnut, Southbound, Westside of the Street",41.897862,-87.667416,0,,1
6029,6029,Ashland & Huron,"Ashland & Huron, Southbound, Northwest Corner",41.89434735,-87.66736643,0,,1
6030,6030,Ashland & Erie,"Ashland & Erie, Southbound, Northwest Corner",41.89343335,-87.66733943,0,,1
6032,6032,Ashland & Grand,"Ashland & Grand, Southbound, Northwest Corner",41.89110559,-87.66727166,0,,1
6034,6034,Ashland & Fulton,"Ashland & Fulton, Southbound, Northwest Corner",41.88698652,-87.66727505,0,,1
6035,6035,Ashland & Lake (Green & Pink Lines),"Ashland & Lake (Green & Pink Lines), Southbound, Southwest Corner",41.885095,-87.667049,0,,1
6036,6036,Ashland & Washington,"Ashland & Washington, Southbound, Southwest Corner",41.88312245,-87.66700015,0,,1
6040,6040,Ashland & Adams,"Ashland & Adams, Southbound, Northwest Corner",41.87896893,-87.66687952,0,,1
6041,6041,Ashland & Jackson,"Ashland & Jackson, Southbound, Southwest Corner",41.87736081,-87.66683725,0,,1
6043,6043,Ashland & Harrison,"Ashland & Harrison, Southbound, Southwest Corner",41.87395623,-87.66674039,0,,1
6046,6046,Ashland & Roosevelt,"Ashland & Roosevelt, Southbound, Northwest Corner",41.86710885,-87.66655179,0,,1
6049,6049,Ashland & 15th Street,"Ashland & 15th Street, Southbound, Northwest Corner",41.86153753,-87.66638201,0,,1
6051,6051,Ashland & 17th Street,"Ashland & 17th Street, Southbound, Northwest Corner",41.85879929,-87.66628999,0,,1
6054,6054,Ashland & Cullerton,"Ashland & Cullerton, Southbound, Northwest Corner",41.85514829,-87.66618899,0,,1
6055,6055,Ashland & 21st Street,"Ashland & 21st Street, Southbound, Northwest Corner",41.85424441,-87.66618498,0,,1
6057,6057,Ashland & Cermak/Blue Island,"Ashland & Cermak/Blue Island, Southbound, Northwest Corner",41.85248368,-87.66617293,0,,1
6059,6059,2450 S Ashland,"2450 S Ashland, Southbound, Westside of the Street",41.84751146,-87.66607416,0,,1
6063,6063,Ashland & Archer,"Ashland & Archer, Southbound, Northwest Corner",41.83778428,-87.66589752,0,,1
6065,6065,Ashland & 32nd Street,"Ashland & 32nd Street, Southbound, Northwest Corner",41.83565054,-87.66582287,0,,1
6066,6066,Ashland & 33rd Street,"Ashland & 33rd Street, Southbound, Northwest Corner",41.83428169,-87.66578811,0,,1
6067,6067,Ashland & 34th Street,"Ashland & 34th Street, Southbound, Northwest Corner",41.832378,-87.665692,0,,1
6068,6068,Ashland & 35th Street,"Ashland & 35th Street, Southbound, Northwest Corner",41.8306318,-87.66571306,0,,1
6069,6069,Ashland & 36th Street,"Ashland & 36th Street, Southbound, Northwest Corner",41.828784,-87.665597,0,,1
6071,6071,Ashland & 38th Street,"Ashland & 38th Street, Southbound, Northwest Corner",41.82511947,-87.66555193,0,,1
6075,6075,Ashland & 42nd Street,"Ashland & 42nd Street, Southbound, Northwest Corner",41.81780934,-87.66526503,0,,1
6076,6076,Ashland & 43rd Street,"Ashland & 43rd Street, Southbound, Northwest Corner",41.81592123,-87.66523268,0,,1
6079,6079,Ashland & 46th Street,"Ashland & 46th Street, Southbound, Northwest Corner",41.8105146,-87.66515161,0,,1
6082,6082,Ashland & 49th Street,"Ashland & 49th Street, Southbound, Northwest Corner",41.80504056,-87.66499628,0,,1
6084,6084,Ashland & 51st Street,"Ashland & 51st Street, Southbound, Northwest Corner",41.80144205,-87.66492262,0,,1
6085,6085,Ashland & 52nd Street,"Ashland & 52nd Street, Southbound, Northwest Corner",41.79957192,-87.66485732,0,,1
6087,6087,Ashland & 54th Street,"Ashland & 54th Street, Southbound, Northwest Corner",41.79594985,-87.66476936,0,,1
6088,6088,Ashland & Garfield,"Ashland & Garfield, Southbound, Northwest Corner",41.79411949,-87.6647397,0,,1
6089,6089,Ashland & Garfield,"Ashland & Garfield, Southbound, Southwest Corner",41.793501,-87.66472358,0,,1
6090,6090,Ashland & 56th Street,"Ashland & 56th Street, Southbound, Northwest Corner",41.79225591,-87.66469427,0,,1
6091,6091,Ashland & 57th Street,"Ashland & 57th Street, Southbound, Northwest Corner",41.79045553,-87.66463315,0,,1
6092,6092,Ashland & 58th Street,"Ashland & 58th Street, Southbound, Northwest Corner",41.78860339,-87.6645166,0,,1
6093,6093,Ashland & 59th Street,"Ashland & 59th Street, Southbound, Northwest Corner",41.78691192,-87.66454477,0,,1
6094,6094,Ashland & 60th Street,"Ashland & 60th Street, Southbound, Northwest Corner",41.784966,-87.664385,0,,1
6096,6096,Ashland & 62nd Street,"Ashland & 62nd Street, Southbound, Northwest Corner",41.781368,-87.664322,0,,1
6099,6099,Ashland & 64th Street,"Ashland & 64th Street, Southbound, Northwest Corner",41.77774696,-87.66430179,0,,1
6100,6100,Ashland & 65th Street,"Ashland & 65th Street, Southbound, Northwest Corner",41.77593222,-87.66425129,0,,1
6101,6101,Ashland & 66th Street,"Ashland & 66th Street, Southbound, Northwest Corner",41.77411854,-87.66420062,0,,1
6102,6102,Ashland & Marquette Rd,"Ashland & Marquette Rd, Southbound, Northwest Corner",41.77235888,-87.66417077,0,,1
6103,6103,Ashland & 68th Street,"Ashland & 68th Street, Southbound, Northwest Corner",41.77047831,-87.66409697,0,,1
6105,6105,Ashland & 70th Street,"Ashland & 70th Street, Southbound, Westside of the Street",41.76687364,-87.66396848,0,,1
6106,6106,Ashland & 71st Street,"Ashland & 71st Street, Southbound, Northwest Corner",41.76506668,-87.66395194,0,,1
6107,6107,Ashland & 72nd Street,"Ashland & 72nd Street, Southbound, Northwest Corner",41.7631639,-87.66386832,0,,1
6108,6108,Ashland & 73rd Street,"Ashland & 73rd Street, Southbound, Northwest Corner",41.761366,-87.66375,0,,1
6109,6109,Ashland & 74th Street,"Ashland & 74th Street, Southbound, Southwest Corner",41.75919106,-87.66376317,0,,1
6111,6111,Ashland & 76th Street,"Ashland & 76th Street, Southbound, Northwest Corner",41.75592748,-87.66370353,0,,1
6112,6112,Ashland & 77th Street,"Ashland & 77th Street, Southbound, Northwest Corner",41.7541134,-87.66361019,0,,1
6113,6113,Ashland & 78th Street,"Ashland & 78th Street, Southbound, Northwest Corner",41.7522654,-87.66355318,0,,1
6114,6114,Ashland & 79th Street,"Ashland & 79th Street, Southbound, Northwest Corner",41.75044511,-87.66358075,0,,1
6115,6115,Ashland & 80th Street,"Ashland & 80th Street, Southbound, Northwest Corner",41.74859081,-87.66349851,0,,1
6116,6116,Ashland & 81st Street,"Ashland & 81st Street, Southbound, Northwest Corner",41.74678005,-87.66347794,0,,1
6117,6117,Ashland & 82nd Street,"Ashland & 82nd Street, Southbound, Northwest Corner",41.7450068,-87.66343298,0,,1
6118,6118,Ashland & 83rd Street,"Ashland & 83rd Street, Southbound, Northwest Corner",41.74324658,-87.66340003,0,,1
6119,6119,Ashland & 84th Street,"Ashland & 84th Street, Southbound, Northwest Corner",41.7413267,-87.66331068,0,,1
6120,6120,Ashland & 85th Street,"Ashland & 85th Street, Southbound, Northwest Corner",41.73951661,-87.66328726,0,,1
6121,6121,Ashland & 86th Street,"Ashland & 86th Street, Southbound, Northwest Corner",41.73769618,-87.66324199,0,,1
6123,6123,Ashland & 88th Street,"Ashland & 88th Street, Southbound, Northwest Corner",41.73400006,-87.66306253,0,,1
6124,6124,Ashland & 89th Street,"Ashland & 89th Street, Southbound, Northwest Corner",41.73222585,-87.66309013,0,,1
6125,6125,Ashland & 90th Street,"Ashland & 90th Street, Southbound, Northwest Corner",41.73033299,-87.66304263,0,,1
6126,6126,Ashland & 91st Street,"Ashland & 91st Street, Southbound, Northwest Corner",41.72854021,-87.66297642,0,,1
6127,6127,Ashland & 92nd Street,"Ashland & 92nd Street, Southbound, Northwest Corner",41.72671399,-87.66293316,0,,1
6128,6128,Ashland & 93rd Street,"Ashland & 93rd Street, Southbound, Northwest Corner",41.72494562,-87.6629214,0,,1
6129,6129,Ashland & 94th Street,"Ashland & 94th Street, Southbound, Westside of the Street",41.72310123,-87.66282833,0,,1
6130,6130,Ashland & 95th Street,"Ashland & 95th Street, Southbound, Northwest Corner",41.72137901,-87.66284024,0,,1
